speaker_name,speaker_role,speaker_party,intervention_language,original_language,date,year,debate_title,text,translated_text,topic_name,stance,mentioned_topics,summary
Eva-Britt Svensson,MEP,GUE/NGL,en,sv,15/09/2009,2009,Inaugural address by the President of the European ParliamentVideo of the speechesPV," Mr President, I would once again like to congratulate you on your election. Transparency, democracy and pluralism are honourable words for the EU and for Parliament, but they must never be turned into mere symbolic policies. Unfortunately, these terms sometimes become nothing more than fine words. In reality, agreements are made behind closed doors. We therefore need a different method of working in Parliament, one where our work and our decisions are brought into the open in a genuine spirit of true democracy. We need an open way of working that applies to all political groups and all Members of the House. If some MEPs do not even feel involved in and aware of the work, how can we expect our citizens to feel involved and have confidence in our work and to vote in elections? Let us have new technology by all means – we need it to provide information – but we must not forget the most important ingredients for involvement. These are democracy and transparency. We are experiencing a financial crisis and an environmental and climate crisis. I should also mention that we have trade agreements which sometimes exacerbate the problems with regard to food supply and poverty in the world. The view of the left is that the solution to the crises is not to continue with the same policy that has sometimes been a contributory factor in creating them. The people of Europe need a different policy. They deserve a different policy – a policy that puts the needs of the people first and not, as is currently the case, the needs of the market. One way to start to move the policy in the right direction is to stop the privatisation and deregulation of public services. The market has not, in fact, succeeded when it comes to satisfying people’s need for work and social rights, for example. We have to suffer the consequences of this. We talk about democracy. Democracy also requires that our civil rights and freedoms never be violated. We currently have many proposals for the additional monitoring of our citizens. Freedom of expression must also apply on the Internet. Thus, the EU and its citizens need a different policy for a fairer society with greater solidarity. We in the Confederal Group of the European United Left – Nordic Green Left are prepared, and gladly accept our responsibility, to play our part in building a fairer EU with greater solidarity and a fairer and better world.",,EU policy reform,supportive,"transparency in Parliament, democracy, social rights","The speaker advocates for a shift towards a more transparent and democratic EU policy that prioritizes people's needs over market demands, highlighting the need to address financial, environmental, and social crises through a different approach."
Liisa Jaakonsaari ,MEP,S&D,en,fi,24/11/2009,2009,Preparation of the Copenhagen Summit on climate change (debate) Video of the speechesPV," Madam President, the debate here has been very interesting, and it seems that the European Parliament is very committed to support for the climate conference in Copenhagen. The importance of agriculture has also been emphasised as a solution to the problem. I myself would also like to stress how important forest policy and forests are, as forests are carbon sinks which absorb carbon dioxide. It would appear that the United States of America is to bring good news along to Copenhagen, which is a very significant move. Now we also need to start talking seriously about how the bill for preventing climate change is to be paid. Here, the matter of income distribution is extremely important, because we cannot make the poor people in Europe pay the bill either.",,climate change,supportive,"agriculture policy, forest policy, income distribution","The speaker supports the EU Parliament's commitment to the Copenhagen climate conference, highlighting the roles of agriculture, forests as carbon sinks, and the need for equitable cost distribution for climate change prevention."
Sabine Lösing ,MEP,GUE/NGL,en,de,15/07/2009,2009,China (debate) Video of the speechesPV," Mr President, I think that this conflict is very often presented in a very one-sided manner. I agree with the previous speaker that in the present case it is frequently a matter of attacks on Han Chinese by Uighurs and indeed that some of these attacks are racially motivated. (Heckling) I read an interview with a Uighur woman, for example, who said: Would you like to be governed by yellow communists? The Uighurs enjoy many privileges in their region, for example they are allowed to have more children, they are allowed to practice their religion even during working hours and there are many other examples. Many of the local Han Chinese are also envious of them. We ought therefore to be very discriminating in our observation of this situation and investigate the causes and effects. Sometimes problems do not lie where they seem to at first glance. We should be careful not to take a one-sided position. We ought to support the Chinese in solving their problems. The one-sided view that is so often presented in this House is, in my opinion, dangerous. The Chinese Government certainly has shortcomings in its policy towards minority groups and it has its failures too. However, it is also showing the will to improve in many areas. We should therefore help it in this regard through cooperation – and indeed also critical cooperation – based on trust.",,Xinjiang conflict,critical,"Xinjiang conflict, minority rights, cultural assimilation","The speaker argues that the Xinjiang conflict is often presented one-sidedly, highlighting Uighur privileges and suggesting a more nuanced approach with cooperative support for the Chinese government's efforts to improve its minority policies."
Jutta Haug,,,en,de,15/12/2009,2009,"Draft general budget of the European Union for the financial year 2010 as modified by the Council (all sections) - Draft amending budget No 10/2009 of the European Union for the financial year 2009, Section III – Commission - Mobilisation of the Flexibility Instrument - Amendment to the multiannual financial framework 2007-2013: financing energy projects under the European Economic Recovery Plan (debate) Video of the speechesPV"," Mr President, I would like to thank all my fellow Members. We have managed to find a common position with regard to the Council. However, I would also like to thank the Council and the Presidency of the Council very warmly at this point. Anyone who knows me will be aware that I am normally very sparing with praise and thanks. Nevertheless, I would like to express my sincere gratitude to the Swedish Presidency and, in particular, Mr Lindblad, for its work and its constant presence during the discussions on budget issues. This made a pleasant contrast to the other Council presidencies that I have experienced during the course of my long career as a Member of Parliament. Thank you very much. This morning, many Members took part in the discussion and I believe that on this occasion, there were many more Members involved than usual. The majority of them referred to the limitations of the budget and its structure. Ladies and gentlemen, we can confidently assume that the 2010 budget will be the last of its kind, the last with this structure, which leads us to believe that we can finance the necessary policies of the European Union and its new challenges and tasks in this way. We expect the new Commission to carry out the mid-term review quickly, as, under the terms of the agreements made in 2006, this should have been submitted by 2009 at the latest, in other words, by the end of this year. To spell it out, we also expect a revision proposal for the current financial perspective. We cannot wait until 2014 for reform. We need sustainable instruments now, so that the European Union can meet the challenges of the immediate future with democratic legitimacy, as the Chair of the Committee on Budgets, Mr Lamassoure, has just called for on behalf of all of us.",,EU budget reform,supportive,"EU budget structure, European Union financing, 2010 budget",The speaker expresses gratitude for the cooperation on the EU budget and calls for a swift revision of the current financial perspective to address the limitations of the 2010 budget structure and prepare for future challenges.
Nathalie Griesbeck ,MEP,ALDE,en,fr,15/12/2009,2009,"Draft general budget of the European Union for the financial year 2010 as modified by the Council (all sections) - Draft amending budget No 10/2009 of the European Union for the financial year 2009, Section III – Commission - Mobilisation of the Flexibility Instrument - Amendment to the multiannual financial framework 2007-2013: financing energy projects under the European Economic Recovery Plan (debate) Video of the speechesPV"," Mr President, Commissioner, ladies and gentlemen, it is my turn to pay tribute to the imagination shown and the efforts made by our institutions in order to release – via some budgetary techniques, as Mr Lamassoure mentioned, by some miracle – the very substantial sums of money that correspond to the second phase of the economic recovery plan, that is, EUR 2 400 000 000. I should also like to say how pleased I am with the EUR 300 million that we have managed to find in order to respond, in the short term, to the very serious crisis affecting farmers today. I hope that this sum of money and these difficulties will mean that we take a pragmatic approach with regard to their future. We should also pay tribute to the pilot projects and the preparatory actions which, as Mrs Jensen stressed, breathe new life into our budget. Beyond these remarks, which have been made very effectively, I should like to stress two points. I should like, firstly, to ask a question and, secondly, to adopt a political position. The question is this: I should like an official explanation as to how our Union is going to stand with regard to cohesion policy and the Structural Funds, elements which seem to have been caught up in the eye of the storm affecting certain EU partners. I believe that this is evidence of what is happening in Europe. (The President cut off the speaker)",,EU budget,supportive,"economic recovery plan, farmers crisis, cohesion policy","The speaker expresses satisfaction with the allocation of funds for the second phase of the economic recovery plan and the agricultural crisis, while also inquiring about the EU's stance on cohesion policy amidst challenges faced by some member states."
Ian Hudghton ,MEP,Greens/EFA,en,en,25/11/2009,2009,Explanations of voteVideo of the speechesPV,"I voted in favour of the compromise package on tyre labelling. This Parliament deals with many issues which appear extremely technical and, at first glance, are not high on many people’s political agenda; this is perhaps one such issue. However, closer examination reveals that almost a quarter of CO2 emissions come from road transport and that tyres play a significant role in determining fuel efficiency. This proposed legislation therefore plays an important part in wider EU efforts to tackle global warming.",,tyre labelling,supportive,"tyre labelling, CO2 emissions, global warming","The speaker voted in favor of the compromise package on tyre labelling, highlighting its importance in addressing CO2 emissions from road transport and contributing to the EU's efforts to combat global warming."
Ingeborg Gräßle ,MEP,PPE,en,de,21/10/2009,2009,The institutional aspects of the creation of a European external action service - Creation of a European external action service: State of the negotiations with Member States (debate) PV," Mr President, as a member of the Committee on Budgetary Control, I am concerned about the way in which the Commission and the Council are excluding the European Parliament when it comes to the question of the External Action Service. We have no documents and we are the only ones who have no documents, who have not been involved and who are forced to accept what has been negotiated. This is outrageous! What I have seen during this debate and following the statements by the two representatives is that the Community instruments are being dismantled. We will also see an opt-out from the instruments which involve parliamentary rights, such as the Budget Regulation. We in the European Parliament must pay attention. The answer to the question of ‘Who decides what?’ has not become clear to me in the course of the debate. I believe that this is an open question. I also believe that if our budgetary and control rights and our codecision on this issue are not respected, it will be very difficult for us to work together with the Council and the Commission over the next few years.",,European Parliament involvement,critical,"Budgetary Control, External Action Service, Parliamentary rights","The speaker expresses concern and criticism regarding the exclusion of the European Parliament from decisions concerning the External Action Service, highlighting a lack of transparency and potential dismantling of Community instruments and parliamentary rights."
Siim Kallas,EU Commission Vice-President,,en,en,26/11/2009,2009,Presentation of the Court of Auditors’ annual report - 2008 (debate) Video of the speechesPV,"Mr President, the Commission welcomes the Court’s annual report for 2008. I have already had the opportunity to thank the Court for the very good cooperation enjoyed again this year. We have had a very fruitful dialogue and the report is very constructive. As you have just heard President Caldeira state, the level of irregularity has decreased overall in recent years. Things really started to improve five years ago, and, since 2004, the ‘red area’, where the Court finds the most errors and for which it gives a ‘red card’, has been reduced by half. For 2008, the report shows a completely clean opinion on the accounts for the second year in a row, as a result of the major achievement of the thorough reform and transition to accrual accounting. Secondly, for the first time, agriculture, taken as a whole, has now become ‘clean and green’. This can certainly be attributed to the substantial simplification efforts of recent years. Thirdly, the policy group entitled ‘education and citizenship’ has also become green. For research in general, things are improving and the Court points out that irregularities are essentially linked to the Sixth Framework Programme, which allows hope that the improved and simplified Seventh Framework Programme rules will bring a better result. Again, as last year, the Court has found no red light for the management and control systems. Moreover, all annual activity reports by Commission services are deemed by the Court to give reasonable assurance, with or without qualifications, that internal control systems ensure the legality and regularity of the underlying transactions. This said, the report also clearly charts the work that still needs to be done. The ‘red area’ is now about 30%, corresponding to cohesion spending, which is the one area where the Court has still not found significant progress in the level of irregularities. This was perhaps to be expected, given that in 2008, the Court did not audit payments made under the improved systems set up for the new 2007-2013 programming period. In this regard, the Commission notes that the Court’s findings on cohesion largely coincide with our own general assessment. For the structural funds, the Commission had reservations in 2008 because of deficiencies in the control systems for Belgium, Germany, Italy, Spain, Bulgaria, the United Kingdom, France, Poland and Luxembourg. The Commission is not shy regarding transparency as to where the systemic problems lie. The names of these Member States were published back in June in the Commission’s synthesis report. The Court also reminds us of the essential role of complete and reliable information from all Member States on financial corrections. We need this to prove that multiannual control systems work and to mitigate the effects of the errors detected. The Court further recommends that the Commission should continue to strive to gain assurance from the annual summaries of all Member States, as well as from voluntary initiatives by certain Member States, in the form of national declarations, or by supreme audit institutions. The Commission agrees that we obviously need to be able to count on quality inputs from Member States. We see improvements, but we are also considering strengthening the legal base to accelerate the process. Finally, the Court emphasises the importance of clear objectives, transparent and easy-to-understand rules, and effective supervision. This reduces the risk of error and the costs of control. However, it is not something that can be achieved from one day to the next and, of course, the upcoming reviews of the budget, the financial framework and the financial regulation present opportunities not to be missed. What we need to do now is to improve assurances obtained from Member States for structural funds, striving for more simplification, which increasingly will require changes to the legislation governing the various programmes. The revision of the Financial Regulation is currently under consultation, and the Commission will make proposals in spring 2010. We also need to define together an acceptable ratio between costs and risk – the so-called ‘tolerable risk of error’. The European Parliament has, in the past, strongly supported the Commission’s efforts to achieve a positive statement of assurance. Now that our efforts are becoming measurable, I hope I can count on its continuing backing to move forward. The 2008 discharge procedure starts in the last days of this Commission and is expected to conclude in the early months of the next Commission. Even though it concerns last year’s budget, let us make it a forward-looking procedure.",,EU Court of Auditors report,supportive,"EU budget management, financial corrections, cohesion spending","The Commission welcomes the Court of Auditors' 2008 annual report, noting improvements in financial regularity and accounting reforms, while acknowledging the need for further progress, particularly in cohesion spending."
Wim van de Camp ,MEP,PPE,en,nl,21/10/2009,2009,Preparation of the European Council (29 and 30 October 2009) (debate) Video of the speechesPV," Mr President, it is good that the European Union is savouring the success of the Irish referendum for a while. We should also count our blessings that an important step has been taken towards the Treaty of Lisbon. Of course, we are all concerned about the Czech Republic. We shall await the court ruling with respect, but please do be patient and sensible in your dealings with Mr Klaus. If we hit out at him, it could well be counterproductive. Copenhagen and the success of this conference is a source of hope, not only for Europe but also for the world. Sustainability is a source of technological development. Important technological developments in Europe, for example, CO2 storage, can also help to combat the economic crisis. This brings me to my third point: the economic crisis. We want a citizens’ Europe. More attention should be devoted to employment, and the Council’s plans are good in that respect. Yet these plans are still very remote to many citizens, who are largely unaware of them. Financial supervision of banking institutions is also very important, and I hope you are able to make progress on this, too, next week. Finally, the approach to the asylum issue. I strongly support the intentions of the Swedish Presidency, but tangible results, including from the Council deliberations, have failed to materialise. Last week, at the meeting of the Committee on Civil Liberties, Justice and Home Affairs, the complaint was raised that the Commission, the Council and Parliament are still achieving too few tangible results.",,Treaty of Lisbon,supportive,"Irish referendum, Czech Republic, Copenhagen conference, Sustainability, Economic crisis, Citizens' Europe, Employment, Financial supervision, Asylum issue","The speaker discusses the success of the Irish referendum regarding the Treaty of Lisbon, expresses concerns about the Czech Republic's ratification, highlights the positive outcomes of the Copenhagen conference, and touches upon sustainability, the economic crisis, employment, financial supervision, and asylum policy, while generally supporting the Swedish Presidency's intentions on asylum despite a lack of tangible results."
Ana Gomes ,MEP,S&D,en,pt,16/12/2009,2009,New EU action plan for Afghanistan and Pakistan (debate) Video of the speechesPV," The Council says that the situation in Afghanistan and Pakistan has a direct impact on Europe. That, in fact, is the principal message that we have to be able to put across honestly and courageously to Europe’s citizens. In that respect, I welcome the EU’s new action plan for Afghanistan and Pakistan, which includes investing in a huge programme of capacity building at all levels in the Afghan administration. Effectively implementing this action plan, as a means of unifying European efforts in Afghanistan, is the only way to contribute to the state building that is necessary to put an end to the war and to underdevelopment. Europe cannot abandon the Afghans, and it is not there because the Americans have so decided. The international military and civilian presence will continue to be needed there for many years to come. To conclude, I strongly condemn the French Government’s decision to forcibly repatriate Afghans who have fled the war in their country.",,EU action plan Afghanistan,supportive,"Afghanistan situation, Pakistan situation, Afghan repatriation","The speaker supports the EU's new action plan for Afghanistan and Pakistan, emphasizing the need for capacity building and a unified European effort to achieve state building and end the war, while also condemning forced repatriation of Afghan refugees."
Emma McClarkin ,MEP,ECR,en,en,26/11/2009,2009,Explanations of voteVideo of the speechesPV,"Despite the request for a budget increase which I opposed and voted against at the committee stages, I nonetheless fully support the Report on the European Year of Volunteering overall. Volunteers are often unsung heroes. They make an immeasurable impact in their communities and on people’s lives. In tough economic times like these, volunteering becomes all the more important and that is why I and others who brought this report forward are keen not only to raise awareness of the benefits of volunteering, but also to create a European Year where properly-funded initiatives will provide volunteering organisations the opportunity to encourage new volunteers to come forward. We must ensure that the European Year of Volunteering is used as a platform for recognition of the contribution volunteers make to our communities, but also use this as an opportunity for us to better understand the barriers to volunteering and what we can do to help remove them and push volunteering forward. This is an example of what the EU should be doing – exchanging best practice in areas such as volunteering rather than creating more and more needless bureaucracy.",,European Year of Volunteering,supportive,"budget increase, volunteering initiatives, EU bureaucracy","The speaker supports the European Year of Volunteering report, emphasizing its importance in tough economic times and advocating for funded initiatives and the removal of barriers to volunteering, while contrasting it positively with EU bureaucracy."
Sajjad Karim ,MEP,ECR,en,en,20/10/2009,2009,Climate change and developing countries in the framework of the UN Conference on Climate Change in Copenhagen (debate) Video of the speechesPV,"Mr President, it is critical for an international consensus to be reached on tackling climate change and global warming. The Copenhagen Summit provides us with an opportunity. But let us think for a moment of the problems facing this summit. The US, the world’s biggest economy, has failed to agree to specific greenhouse gas emission reductions for 2020, and many other developed industrialised nations are uncertain as to whether the ambitious actions required are possible. Let us be clear: we really have no choice. The EU, in setting ambitious targets for 2020 and 2050, has acted courageously and must now urge others to do the same. We cannot meet our targets without cooperation from other states. The establishment of an effective global carbon market is crucial, as is international consensus if we are to avoid the risk of protectionist measures relating to CO2 emissions within the EU. At Copenhagen, we must encourage courageous leadership from the national governments of large industrialised nations. Although individual states in the US have begun to tackle climate change, there is a woeful lack of leadership from the Federal Government. We need the US and emerging economies such as India and China to form a partnership with us for the future of our planet. We can encourage developing nations to follow a different, less environmentally damaging path of industrialisation. They still have time to take a fresh approach that will be less environmentally damaging, and we must help them in the planning and building of the infrastructure which will achieve this.",,climate change,supportive,"global warming, Copenhagen Summit, international cooperation","The speaker emphasizes the critical need for international consensus and cooperation to tackle climate change, highlighting the upcoming Copenhagen Summit as an opportunity while urging developed nations, particularly the US, and emerging economies to set ambitious emission reduction targets and develop sustainable infrastructure."
Andreas Carlgren,EU Council President,,en,sv,24/11/2009,2009,Preparation of the Copenhagen Summit on climate change (debate) Video of the speechesPV," Madam President, I would genuinely like to thank Parliament for a long and intensive debate and also for the strong and broad commitment that has become apparent during the debate. It has been said that the optimism that we are showing must be rooted in realism. However, I would go further than that and say that it is, in fact, rooted in real experiences. The EU has succeeded in reducing emissions. We have reduced them by half of what we need to achieve, whatever happens, by 2020 and by a third if we aim for what we all hope will be the outcome of the Copenhagen agreement, which is to say, a 30% reduction in emissions on the EU’s part. This is due, in particular, to the fact that we have created common rules established by an internationally binding agreement – the Kyoto Protocol. That is why we have been so strongly committed to ensuring that the Copenhagen process leads to this legally binding agreement. It will not happen straight away in Copenhagen. We will need to agree on all of the content of the agreement. Then we will have the technical part, which includes transferring this to a legally binding text. As far as the EU is concerned, we want this to happen within months of the Copenhagen conference. I would also like to say that the financial crisis throughout the world certainly had nothing to do with too much being spent on saving the climate. On the contrary, large green investments are also part of the economic changes, in other words, the move towards a ‘greener’ economy, which will also lead countries, both rich and poor, out of the economic crisis. The carbon dioxide markets in fact provide a way of creating sufficient room for investment. They ensure that the polluter has to pay, that we set a ceiling on emissions and that the money that the polluter pays for emissions can also be transferred to developing countries to make green investments there. That is sometimes called into question. Some people wonder why we should invest in the clean development mechanism (CDM), but that is nevertheless precisely what it is all about, namely that the polluter must pay for green investments in developing countries. I think that is a good thing and it is important, but we must also reform these rules so that the environmental effects are even greater and clearer and so that we can be even more certain that this also reaches those who are poorest. An agreement will also be needed in order to avoid carbon leakage. The concern that there has been must therefore be transformed into even greater commitment to making the agreement a reality. Finally, I think that it should be said loud and clear that if an agreement in Copenhagen is not sufficient to allow the EU to go up to 30%, in other words, if we get such a watered-down result that the EU, for reasons of propriety, quite simply cannot go up to 30%, then it will have been a failure. Therefore, it should also be said loud and clear that there is something worse than no agreement and that is a poor agreement. That is why the EU has set the bar so high. That is why we are working so hard right now with regard to the content. It is also because, when we talk about the two degree target, we are conscious of the fact that it is the highest level we need to achieve. We know that we are, in fact, already seeing unacceptable results today. Talk to the government of the Maldives, for example, that recently held its cabinet meeting under water to show the consequences that will be very nearly unavoidable in some parts of the world. It would be cynical, then, not to take very forceful action. The world has waited long enough. It is time that we reached the necessary agreement in Copenhagen for the sake of the planet. That is also why Parliament’s commitment and that of the whole of the EU is so important.",,climate change agreement,supportive,"climate change mitigation, Kyoto Protocol, Copenhagen conference","The speaker supports a strong climate change agreement from the Copenhagen conference, emphasizing the EU's commitment and the necessity of such an agreement to reduce emissions and foster green investments."
José Manuel Barroso,EU Commission President,,en,fr,24/11/2009,2009,Question Hour with the President of the CommissionVideo of the speechesPV," Firstly, concerning the question of the climate change, or rather the ‘action in the field of climate change’ portfolio, I see this responsibility as being very important. It is a horizontal responsibility, a dimension to be integrated into all of the Union’s policies. The commissioner for climate change policy will clearly be responsible for following up the work done in Copenhagen, with all that that entails in terms of internal and external action. With regard to the justice and home affairs portfolio, yes, I have decided to cut that in two, also. One portfolio will be devoted to justice and fundamental rights, and the other to home affairs. Moreover, this division is commonplace in many of our Member States in which there is a minister for justice and a minister for the interior. Obviously I wish to discuss the exact definition with the commissioners concerned, but I can already tell you that I want the commissioner responsible for justice and fundamental rights to pay particular attention to eliminating the obstacles that European citizens face when exercising their rights.",,climate change action,supportive,"climate change, justice and fundamental rights, home affairs","The speaker views the climate change action portfolio as critically important and horizontal, requiring integration across all EU policies, and outlines a plan to divide the justice and home affairs portfolio into separate portfolios for justice and fundamental rights, and home affairs."
Gilles Pargneaux ,MEP,S&D,en,fr,20/10/2009,2009,Climate change and developing countries in the framework of the UN Conference on Climate Change in Copenhagen (debate) Video of the speechesPV," Madam President, Mr Carlgren, Mr President of the Commission, we are facing a challenge for humanity, a challenge for the future generations. In order to take up the gauntlet, Copenhagen must provide the conditions for a global agreement, a single agreement, because, as the chairman of the Committee on the Environment, Public Health and Food Safety, Mr Leinen, was saying earlier, a universal alliance, involving industrialised countries and emerging countries alike, is necessary. Today, with our debate, but also with the drafting of a resolution by Parliament, we are once again calling on the European Union to maintain its leading role in this necessary policy to combat climate change. Let us remember that we must speak with one voice if we are to maintain our credibility. Yes, we must come to an agreement in Copenhagen to limit the increase in the global mean temperature so that it does not exceed the pre-industrial levels by more than 2 degrees. Yes, we must sign an agreement in Copenhagen in order collectively to ensure that, by 2020, there are 30% fewer greenhouse gas emissions than there were in 1990. That will not be enough, however. Not only is it necessary for developed countries to substantially reduce their emissions, but developing countries must help achieve the targets too. It follows that the industrialised countries must provide developing countries with adequate, long-term and predictable financial and technical support to encourage them to make a commitment to reduce their greenhouse gas emissions. Copenhagen must also enable developing countries to move in the direction of low-carbon models. Thus, allow me to address two areas that I feel are necessary for our future. Firstly, the introduction, at international level, of funding to combat global warming, based on the taxation of financial transactions. Secondly, I feel it is necessary to introduce a tax adjustment at Europe’s borders that would hit imports of goods manufactured without the slightest concern for environmental protection, a tax adjustment linked to the contractually stipulated repayment to the countries of the South of the carbon tax collected in this way at Europe’s borders, and which would be used to finance investment in the equipment they need to combat global warming.",,climate change policy,supportive,"global agreement, greenhouse gas emissions, financial and technical support","The speaker emphasizes the urgent need for a global agreement in Copenhagen to combat climate change, advocating for the EU to maintain its leadership role and calling for financial and technical support for developing countries."
Cornelis de Jong ,MEP,GUE/NGL,en,nl,26/11/2009,2009,Presentation of the Court of Auditors’ annual report - 2008 (debate) Video of the speechesPV," I should like to say a few things about the European Commission’s expenditure in the framework of external relations. According to the Court of Auditors, more errors were made in this field in 2008 than in 2007; and these errors were found in all the areas of external policy. I find it shocking that many errors are occurring in procurement with regard to projects. The Commission keeps a watchful eye over procurement procedures in the Member States, and so I receive regular cries for help from our representatives in municipalities and provinces concerning complicated, obscure procedures. The fear of doing things wrong in the eyes of the Commission is great. Yet who is the Commission to monitor our local authorities if it makes errors itself time after time in procurement concerning its own projects? What is the Commissioner’s own opinion of this? The Commission likes to present itself as the 28th donor. I wonder how effective this is, and I find it regrettable, in itself, that the otherwise very good report by the Court of Auditors does not include detailed information on effectiveness, and that this subject is raised merely incidentally in separate reports. Could information on the effectiveness of policy be included in future? To give an example, I read in the report that, with regard to budget support, there are insufficient controls on compliance with payment conditions. In other words, the Commission has been handing countries a bag of money without applying sufficient controls. What conditions does the Commission actually impose, however? Also, to what extent is it gauging whether budget support is actually helping countries’ development? I cannot find anything about this in the report, indeed, nor can there be anything there in view of the approach taken. On a more general note, when I read how carelessly the Commission spends the funds allocated to it, I really wonder whether we would perhaps do better to leave development expenditure in the hands of the Member States themselves. It is clear that the Commission has taken little notice of the recommendations of the Court of Auditors, and so I wish to ask the President of the Court whether it is not dispiriting to find, year after year, that the Commission has failed to put its house in order in this regard.",,European Commission expenditure,critical,"external relations expenditure, procurement procedures, budget support effectiveness","The speaker criticizes the European Commission's expenditure in external relations due to numerous errors in procurement and insufficient controls on budget support, questioning its effectiveness and suggesting Member States might manage development expenditure better."
Carlos Coelho ,MEP,PPE,en,pt,20/10/2009,2009,Explanations of voteVideo of the speechesPV," I support this agreement negotiated between the European Community and Barbados, establishing a visa exemption for entry and short stays in order to facilitate the movement of their citizens. EU citizens and nationals of Barbados who travel to the territory of the other contracting party for a maximum period of three months within a six-month period will be exempt from visa requirements. The exceptions are the United Kingdom and the Republic of Ireland, which are not bound by this agreement, and a territorial restriction with respect to France and the Netherlands, for which this agreement only relates to those countries’ European territories. I would point out that anyone who travels with the aim of carrying out a paid activity during a short stay cannot benefit from this agreement, and continues to be subject to the applicable rules of the Community and of each Member State in relation to the visa requirement or waiver and also access to employment. The agreement may be suspended or repealed, but that decision can only be made in relation to all the Member States. I also support the provisional implementation of the agreement pending its entry into force.",,EU-Barbados visa exemption,supportive,"EU-Barbados relations, travel policy, free movement","The speaker supports the EU-Barbados agreement for visa exemption for short stays, facilitating citizen movement, with specific territorial exceptions and conditions regarding paid activities."
Sylvie Guillaume ,MEP,S&D,en,fr,25/11/2009,2009,Explanations of voteVideo of the speechesPV," I regret that there is still a striking economic, social and demographic imbalance between the two sides of the Mediterranean. That is why I have voted in favour of giving new impetus to the integration of the countries of the south and the east of the Mediterranean in international trade so that they can diversify their economies and share the associated benefits fairly. We must reduce the gap separating the north and the south sides of the Mediterranean in development terms. Moreover, this free trade area should be supplemented by the gradual and conditional introduction of free movement for workers, with account being taken of the current discussions on the links between migration and development.",,EU Mediterranean trade,supportive,"Mediterranean economic integration, EU trade policy, migration and development",The speaker supports new impetus for the economic integration of Mediterranean countries into international trade to reduce development gaps and advocates for the conditional introduction of free movement for workers.
Cristiana Muscardini ,MEP,PPE,en,it,25/11/2009,2009,Explanations of voteVideo of the speechesPV," Mr President, today Parliament forcefully reiterated an opinion it had already expressed on several occasions during the previous Parliamentary term: Europe must introduce a regulation that establishes the origin marking of many products that enter its territory. The decision arises out of a need to guarantee more information for, and therefore the protection of, consumers so as to enable them to make informed choices. The regulation on origin marking will finally enable European business to compete on an equal footing with companies in third countries where laws on the origin marking of products entering their territories have already existed for some time. The market is free only when rules are clear, mutual and applied. The aim of the approved resolution is to call on the Commission, after the fruitless attempts at mediation with the Council, to reiterate the proposal in the light of the new responsibilities that Parliament has acquired with the entry into force of the Treaty of Lisbon. We are sure that agreement between the political groups of the European Parliament will be instrumental in establishing a definitive legal framework with the Council. I take this opportunity to emphasise that the commodity categories envisaged in the current proposed regulation must be respected and extended with regard to fastening products, in other words, products for which it is essential to ensure quality and compliance with European regulations in order to guarantee safety in the construction of bridges, cars, electric household appliances and any other item that involves the use of fastening products. Guaranteeing safety is a priority for us. Today’s vote is an important success that we dedicate to European consumers and producers at a time of new political momentum for Parliament, due to the codecision procedure that has finally made up for the democratic shortfall that we have had to put up with for so long.",,origin marking regulation,supportive,"consumer protection, fair competition, product safety","The speaker discusses the European Parliament's reiterated call for a regulation on origin marking for products entering the EU to enhance consumer information, ensure fair competition, and guarantee product safety."
Werner Kuhn ,MEP,PPE,en,de,16/09/2009,2009,EU strategy for the Baltic Sea area (debate) Video of the speechesPV," Mr President, Mrs Malmström, Commissioner Samecki, as a newly elected member from Mecklenburg-Western-Pomerania, I very much support the development of a Baltic Sea Strategy and the associated action plan. The Commissioner referred earlier to the flagship projects, 80 in total. Our common objectives are, of course, to improve the competitiveness of our economy in the Baltic Sea area, taking particular account of the promotion of small and medium-sized enterprises and of a common energy policy which also takes account of renewable energies. That raises the question of how we deal with offshore installations in the Baltic Sea. Maintaining clean water, because that is our foundation and our resource, plays a very, very important role here, when we think of fisheries and when we think of tourism. That is why investments in treatment plants need to be promoted. I think a common planning programme needs to be agreed for all Member States in the Baltic Sea area, because we need to answer the following questions: where will traffic routes be positioned in future? Where will offshore installations be built? How will safety at sea be addressed? That is why we also need to be clear on where the energy routes will be for Nord Stream, for the supply of electricity, and on many other things. (The President cut off the speaker)",,Baltic Sea Strategy,supportive,"economic competitiveness, SMEs, energy policy, environmental protection, fisheries, tourism, renewable energies, offshore installations, traffic routes, safety at sea, Nord Stream","The speaker supports the development of a Baltic Sea Strategy and action plan, emphasizing the need for common objectives such as improved economic competitiveness, support for SMEs, a common energy policy with renewable energies, environmental protection, and coordinated planning for infrastructure and safety."
